,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.4303138699799733,0.40197074032426117,0.2117101222823458,0.2117101222823458,0.22426076834273095,0.23304844927007629,0.7633394054366831,0.7988784973775597,0.6632907044402253,0.561816183056804,0.6397792918177168,0.8886025137451483
1,15,0.4694839033193509,0.48691792242409565,0.21825381322830828,0.21825381322830828,0.25019319713281407,0.22855382947659017,0.7308086947139338,0.7989554582347596,0.6954670164920169,0.5643639131657314,0.6695029500719649,
2,20,0.4801405166947343,0.5082085258423241,0.23031679349534198,0.23031679349534198,0.26654439221885595,0.232078711435358,0.7129487139163813,0.7990247386434776,0.6967555749968843,0.5884019411438647,0.6625303737107653,
3,25,0.48196867800144777,0.5093575526273553,0.23946801406522708,0.23946801406522708,0.27518092688770535,0.23632730449642272,0.7039409715310311,0.7990526039884993,0.6920507962384784,0.6167639135381469,0.6495287372694114,
4,30,0.48151850645918315,0.5063100869609204,0.24545767525145107,0.24545767525145107,0.27954750841375114,0.23953366783748842,0.6990861636600475,0.799145227048711,0.687097629459826,0.6415483928335798,0.6364815313977077,
5,40,0.4796341515898811,0.5008422096589843,0.2545022416508626,0.2545022416508626,0.2842452397780309,0.24518485569490642,0.6921889859451715,0.7992443535283819,0.6799645338381972,0.6765867123329536,0.61892950098693,
6,50,0.47833043797237507,0.4978698810552383,0.26074645126970036,0.26074645126970036,0.286456510251032,0.2492318849405438,0.6885697874938072,0.7993165720567342,0.676079030969911,0.6952249020420754,0.610278754185095,0.8857015532942886
7,60,0.47758514897625726,0.4963253070601626,0.26561175699655304,0.26561175699655304,0.28845155404755407,0.2521903384621892,0.6878622049333714,0.7993413316225202,0.6741986160685006,0.702464742503055,0.6048821930917656,
8,70,0.47720686459122824,0.49547084243491957,0.26946852835763824,0.26946852835763824,0.2905542267667827,0.2547468555503236,0.6868712000455783,0.7993830646283393,0.6732724468863164,0.7026311653614545,0.6014350584683237,
9,80,0.4769670683225215,0.4949484792888404,0.2721326144844727,0.2721326144844727,0.2920560429640452,0.25668975271620614,0.686693309886385,0.799420938681765,0.6727653762636822,0.6993941119390267,0.5991542899132472,
10,90,0.4767794110156119,0.4945586602813642,0.2742706406356314,0.2742706406356314,0.29329249631770316,0.2582443332403684,0.6860663758218607,0.7994385701444461,0.6724203924967442,0.6943083601067354,0.597616149784983,
11,100,0.47665400702286476,0.49429426810319826,0.2757787594744498,0.2757787594744498,0.29404701453021337,0.2593064058138529,0.6858933167667128,0.7994690736283551,0.6721857524426951,0.6882415245404584,0.5963596445043029,0.8851478054301551
12,150,0.4764169360314146,0.4937828755153221,0.2801766908091475,0.2801766908091475,0.2960901524746037,0.26271525149326436,0.684637805164812,0.7996101884543093,0.6716214968124732,0.6569610715420366,0.5940818915546685,
13,200,0.47634013030758926,0.4936219292844434,0.28255464403843056,0.28255464403843056,0.2975851753993728,0.2647543514729662,0.6850915908349121,0.7996248032513259,0.6714113756350157,0.6362903154740324,0.5934010794988357,
14,300,0.47626376837095985,0.49354304783715314,0.28461832614492055,0.28461832614492055,0.298815734134932,0.266666002647638,0.6858535646858872,0.7995838896031207,0.6712605309287237,0.6224232304399336,0.592696550285027,
