,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.3412108848774104,0.3091580789422516,0.26069513559387414,0.27060779461800183,0.2086255962162812,0.33684642198072584,0.7954024306351755,0.7763573060602763,0.6707941225028892,0.6759256624071491,0.6776364534452951,0.4012097222531077
1,15,0.4157653669989608,0.36791107654417005,0.2600007715156425,0.2768326631611506,0.25411840153913984,0.35448021324584783,0.774421004356799,0.7763029050157763,0.7188927411810027,0.6717420383071976,0.707304272659916,
2,20,0.4575651437589007,0.4094562188087368,0.2889711838907534,0.3177776059387566,0.27940999639264097,0.3888866106212836,0.7621245127264389,0.7761941029267762,0.7133069176159815,0.6770356034948914,0.6915287725364287,
3,25,0.483776605981294,0.43414997731544497,0.3179801720479883,0.34774203526136716,0.29608401138322177,0.408365798646709,0.7547294198578308,0.7762213034490262,0.7008695173628309,0.6842929106070524,0.6771425043220548,
4,30,0.5050229013509873,0.4516170847106099,0.338502488137947,0.3682725023198268,0.3032185658743837,0.4192741439409473,0.7491114423297409,0.7763573060602763,0.6887347972043366,0.6896718558784187,0.6712459866633737,
5,40,0.531927177552827,0.4754682740294251,0.3705203873008525,0.3982755954222085,0.3119163092709127,0.43592372360057413,0.7436367805549186,0.7763845065825263,0.6777007319355016,0.6987790648034835,0.6690540874289949,
6,50,0.5526731072706978,0.49053729988981787,0.3903869150947035,0.4160995978966904,0.31644554891979637,0.4455607955710478,0.7412004127493694,0.7763573060602763,0.6709867371085796,0.7011127870905314,0.6663682390713757,0.40074273388334186
7,60,0.5666448558562026,0.5011666342601594,0.40276974115650194,0.42673213733374576,0.32173634213796143,0.45228624154193153,0.7398819078193075,0.7764117071047764,0.6674646414616697,0.7078862737285483,0.6647937762410472,
8,70,0.5770370655479004,0.5068053665175968,0.41009913976005863,0.43388493659140115,0.32546394645075954,0.4566331761328686,0.7385060765879385,0.7764661081492764,0.6639975785592428,0.7051825710789197,0.6621387997036305,
9,80,0.5845810399907625,0.5109209929353814,0.4166184469390117,0.43937519331889885,0.32855024249468917,0.4604059872872668,0.7386780554918597,0.7763845065825263,0.6625667272026856,0.7061217519993169,0.6609965423561374,
10,90,0.5905084484815827,0.5152958714109793,0.4215175712687575,0.4427776059387566,0.3310753938033589,0.46311256920237853,0.7386780554918597,0.7763573060602763,0.661796268779924,0.7057233116088454,0.6597616695480365,
11,100,0.593818559716716,0.5180828310324713,0.42352351193920457,0.4449041138261676,0.3330394003767686,0.46442485134303874,0.7388786975464343,0.7763029050157763,0.6610258103571625,0.7050118109115747,0.6585885403803409,0.4006760212590896
12,150,0.6024787344597975,0.5253418886512412,0.4331674574702002,0.4529848437983297,0.3374083129584352,0.4691408652860365,0.7375315294657189,0.7765477097160266,0.659292278905949,0.6959330620144007,0.6546678192146209,
13,200,0.6040568107463146,0.5283232873160931,0.4365235505149867,0.4566579028765852,0.33953264659906207,0.471765429567357,0.7382481082320569,0.7766021107605267,0.6586594023443949,0.6878504140934059,0.6534020745863176,
14,300,0.6054809283707324,0.5260224253030008,0.43868379431392973,0.46048561707392516,0.34245861557577456,0.47402091449661676,0.7385060765879385,0.7762213034490262,0.6580540421550822,0.6782024646384154,0.6509014571499135,
