,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.2926777622627734,0.29294257007353114,0.01647791639091057,0.01647791639091057,0.03454460801991663,0.012576364947859457,0.643481768072232,0.7093790818742803,0.481446348999152,0.5245590318594887,0.5779802011654842,0.8327918817476702
1,15,0.33514355136333734,0.36285685743796225,0.023106239214089528,0.023106239214089528,0.06062415579696022,0.007608150233346399,0.6093505777038938,0.7094275570417563,0.5391798668033427,0.5260451916229558,0.6033993360040698,
2,20,0.35186387875599034,0.39570146345361623,0.03156583527116106,0.03156583527116106,0.07942884045912349,0.007042552109943232,0.5939926819871036,0.7094328372741115,0.5568445278539617,0.5451127739231773,0.600234397117749,
3,25,0.35743063346575693,0.4078043064725029,0.040752528965724295,0.040752528965724295,0.09104436721468878,0.010664709504192267,0.5877522646293569,0.7093564034377323,0.5614684658595458,0.5684512821793858,0.5943659240631903,
4,30,0.3593173636050035,0.41167888943071407,0.048099316107394444,0.048099316107394444,0.09802701866720545,0.014351363130906748,0.5836876751159229,0.7093717584518365,0.5620421672326769,0.5900300905562713,0.5863913230673476,
5,40,0.3600275245997902,0.4127192934088916,0.06041798437877799,0.06041798437877799,0.1060019718783777,0.021154393724321513,0.5770416540330793,0.7093496556650261,0.5604260385893902,0.6220319490857898,0.5739062308036189,
6,50,0.3597755555991096,0.4115095035344639,0.06845392422661467,0.06845392422661467,0.1102245577906435,0.0255043044164123,0.5727893183002687,0.7093388754682932,0.5588750955783839,0.6403657667825484,0.5675312867974122,0.8291566306898643
7,60,0.35939709505628475,0.4101640110802962,0.07447125019590554,0.07447125019590554,0.11349648256629041,0.028777951136919427,0.5723594208635204,0.7092804808504288,0.5578728630643794,0.6475824882651952,0.5631493340874032,
8,70,0.3590754958389342,0.40915835328904004,0.07895107777823637,0.07895107777823637,0.11661857227301134,0.03138149312074056,0.5717035851934995,0.7092967605088988,0.5573694079247347,0.647516819811666,0.5600818619060953,
9,80,0.35878079104697225,0.40838717565976446,0.08204530686272941,0.08204530686272941,0.11882932753522908,0.03334995954620879,0.5723470528021254,0.7093078403895383,0.5570860698366659,0.6439809544180333,0.557889467388104,
10,90,0.358529349404065,0.407750442079194,0.0846041550657196,0.0846041550657196,0.1205045617242992,0.03498473738787871,0.571569933302079,0.7093039960591753,0.5568748179002025,0.6384360381459292,0.5563639951017088,
11,100,0.3583416421662192,0.4073061244683715,0.08636316793572013,0.08636316793572013,0.12137498450995689,0.03602947964428748,0.5712959955850906,0.7093324360973546,0.5567401633418205,0.631253860117663,0.5551119376312161,0.8282264241020444
12,150,0.35786078900009216,0.4062825910147362,0.0912102593535445,0.0912102593535445,0.12381523381058736,0.03941950343684727,0.5692950872163457,0.709474681328194,0.5562954943611232,0.5908052070479585,0.5530035252781418,
13,200,0.3576657032842477,0.4059128347516912,0.09360993206656473,0.09360993206656473,0.1254945579278921,0.041390549870606176,0.570001037995401,0.709534461498654,0.5560527817012338,0.5645241859371657,0.552434349910302,
14,300,0.35749407588634685,0.40575073093632175,0.0954737791365672,0.0954737791365672,0.12682650170644139,0.043233714090994926,0.5708944017034374,0.7095814101334594,0.5558624778506519,0.5480309462677394,0.5515750928910262,
