,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.38099932228451727,0.3735025501126794,0.27530067468465824,0.2877031853633647,0.24202040144784467,0.3768716885510251,0.861876882851134,0.8250140845070423,0.7840039632300325,0.7083169760529415,0.7057329462989841,0.3359413421558546
1,15,0.4586901608034009,0.4265804768117661,0.27200058668231153,0.29360740578759387,0.30256663376110565,0.40628119480918373,0.8401068606832263,0.8249014084507043,0.8059668629933395,0.7031013403622904,0.7349419448476052,
2,20,0.5018791202020825,0.4692800379551655,0.31578175418011145,0.3552737079962096,0.33185258308654164,0.4574214850648852,0.8261808673904394,0.8245070422535211,0.7909946606484285,0.7089338791991475,0.7216981132075472,
3,25,0.5297886759903888,0.49774641205076503,0.3581695511880317,0.39893578249143524,0.3506910167818361,0.48583275742916376,0.8207809924401751,0.8244507042253522,0.7755270545494578,0.7181313442880377,0.7021649733913885,
4,30,0.5520916764216622,0.5192148025145297,0.3886036960985626,0.4283839930024054,0.35809476801579465,0.502418797512094,0.816233729324163,0.8245633802816902,0.7609401662354819,0.7240760473332959,0.6910377358490566,
5,40,0.5787690222413899,0.5479183963942593,0.43539161044294517,0.4714629346162257,0.36763738071734126,0.5258389004069722,0.8092991530722446,0.8243943661971831,0.7490504761380525,0.737143177612024,0.682571359458152,
6,50,0.5999014232025137,0.5687344324516664,0.46406570841889117,0.4963918652963044,0.3728200065811122,0.5399677493665054,0.8067413175694879,0.8242816901408451,0.7429955413662135,0.7385452302170378,0.6800314465408805,0.33580721598783925
7,60,0.6133941223584499,0.5853398173407662,0.48056614843062484,0.5094394635177492,0.3789897992760777,0.5494125777470629,0.8060592281020861,0.824169014084507,0.7385919524412397,0.7439851943244911,0.6788824383164006,
8,70,0.6260858850348099,0.5940576444075436,0.490539747726606,0.5181864567388293,0.3834320500164528,0.5556323427781618,0.8046950491672824,0.824112676056338,0.7344085429625145,0.7392182154674444,0.676463473633285,
9,80,0.6345265233195737,0.6017672873917684,0.49853329422117926,0.5257671841970989,0.38688713392563345,0.5599324272441066,0.8053771386346843,0.824056338028169,0.7330324214234601,0.7358532892154114,0.6760401548137397,
10,90,0.6411804571498984,0.6084094413474084,0.5039601056028161,0.52860995699395,0.38976637051661733,0.5636950011518084,0.8050360939009833,0.824112676056338,0.7322617933615897,0.7342269081935954,0.6750120948234156,
11,100,0.6447538660587764,0.6138061914363658,0.5060868289821062,0.5311611633500984,0.39297466271799936,0.5652307456039315,0.8054908202125846,0.824,0.7312709858534706,0.7332735124221861,0.6741654571843251,0.33629901193722894
12,150,0.6571375762429918,0.6289882576206856,0.5175271340569082,0.5401997230118813,0.3972523856531754,0.5716040850802426,0.8035013925993293,0.8245633802816902,0.729839819452854,0.7266558241265212,0.6707789066279632,
13,200,0.6641611730638901,0.636757205550943,0.5199471985919625,0.5439171951308405,0.39988483053636065,0.5745219995392766,0.8040129596998806,0.8247887323943662,0.7291242362525459,0.7221692557904773,0.669206579583938,
14,300,0.6684122974554864,0.6434586644526153,0.5227339395717219,0.5489467162329615,0.403751233958539,0.5781309990017661,0.8032740294435287,0.823830985915493,0.7286838773600485,0.7142055969939992,0.6670899854862119,
