,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.007792724362312336,0.01634635253678743,0.14165982409608352,0.10146759222307626,0.13088227724947057,0.05459405302912261,0.13550686711966747,0.15188925776388562,0.03731552637421814,0.2744625203416659,0.07529337742559956,0.15276275900657676
1,15,0.007784532668783861,0.016123414537838388,0.12569063036837838,0.09261542899441494,0.1398265555995472,0.05217667959356373,0.15214386966598475,0.152088237995917,0.0401338981171146,0.2560786776892299,0.05364992312443403,
2,20,0.007775228569005791,0.01601208230714382,0.12221576626439794,0.09136416366454482,0.14518115394849654,0.052010653961918354,0.16223870733813475,0.15195170581716377,0.0413155486777388,0.23781482188506428,0.04810575621839953,
3,25,0.007764752464314696,0.015942808226008343,0.12192879532497271,0.0919787491317837,0.1481350411289502,0.05244585745291206,0.16798568145412232,0.1518223252627512,0.04195358835901041,0.22276527960347262,0.049195720429457274,
4,30,0.007753175661548331,0.01590094297313625,0.1225366115252925,0.09307103354974361,0.15014498345553215,0.05302094974878563,0.17054158839973851,0.1517093943382472,0.042345548240398684,0.21038090924846375,0.05211900923929262,
5,40,0.007727171180752048,0.015875088780054548,0.12391865073822184,0.09516752784208901,0.1526048474673717,0.05411017900138899,0.17398632208536344,0.15148247501927334,0.04278090984360167,0.19144252467507408,0.05787456717919989,
6,50,0.007697777920423976,0.015897966447414934,0.12495995216458525,0.09674849970579133,0.15407184885453662,0.05488038270697687,0.17559027958170115,0.15130519672870194,0.04299528218747419,0.1778359364837217,0.0618683086860156,0.15300569109657913
7,60,0.007665782712263524,0.01593572360947674,0.12562462149035306,0.09782323726722349,0.1549249309244406,0.05546689244010536,0.17620999822793681,0.15115167881104888,0.04310035788659532,0.1681932227726765,0.06456637403273945,
8,70,0.007632095883417827,0.01598617282624896,0.12601158785252345,0.09855644998466638,0.15544012028760942,0.055887804117043464,0.17678828449068984,0.15102637601066463,0.04315630766369646,0.16153420536089927,0.06638613617430142,
9,80,0.007597236953462336,0.01605085697250744,0.12677491037764319,0.09929880499977553,0.1558174363858877,0.05619604210310763,0.1772699852731538,0.15091330585531906,0.04318889599097582,0.15678467971948568,0.06761798296330156,
10,90,0.007561492228448888,0.016131890313271297,0.1268903579999683,0.0996865125359748,0.15607810495206234,0.05643795644894818,0.17751157554793287,0.15081812782324194,0.04321102335386368,0.15331045819408198,0.06847706553340852,
11,100,0.00752494606181644,0.016226719986390654,0.12700279867519157,0.10002257819080053,0.1562743761205979,0.05663713886040221,0.1774640329031451,0.15073766652651646,0.04322677541192983,0.15086905518925725,0.06911080693751973,0.15281213946073083
12,150,0.007347662385855153,0.016839508929938473,0.12717454623748986,0.10087946077655727,0.1567681068052184,0.05714107501914013,0.17767813636479665,0.150469018662601,0.04326168160934932,0.14593192677754657,0.07065087416195065,
13,200,0.007231999474473224,0.017623725741484544,0.1273834981071417,0.10133598946413257,0.15688671329842824,0.05738293697403057,0.17761093099948633,0.1503203852115708,0.043273786781722,0.14563852146102182,0.07113118371095188,
14,300,0.00741004589662188,0.019471619564766795,0.12721511283975745,0.10165647243270548,0.15701258047586242,0.05765209133866283,0.177344491291304,0.150199904610652,0.04328318126931718,0.14717541620540583,0.07151660464583191,
