,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.8737586306966725,0.7192369915054259,0.3907525060597457,0.3907525060597457,0.3879214421692211,0.4323791974874209,0.8803841836298112,0.9095825042593393,0.8376495056049051,0.598350938009002,0.6911799555873878,0.9396667131929292
1,15,0.8771292482469288,0.7778004671896063,0.40780525819387387,0.40780525819387387,0.398536788470887,0.44039195406717474,0.8500376887587576,0.9096471814343278,0.8313450769235025,0.6048123674726241,0.7233822321364607,
2,20,0.8645907865438868,0.7646906794723921,0.4161150809995105,0.4161150809995105,0.4032007600271873,0.44333793357178036,0.8301207591971911,0.9097239362653797,0.8133897174290666,0.6333709486824842,0.7121360060000512,
3,25,0.8538913961291124,0.7436201392494526,0.4170381800276603,0.4170381800276603,0.4040040471825239,0.4421866978741938,0.8184276763742169,0.9098052087107827,0.798975624971169,0.6649823443631298,0.6924954464813572,
4,30,0.8461522900180171,0.728742437089281,0.4157618247410774,0.4157618247410774,0.40354695164725846,0.440209092396397,0.8128784432947076,0.909899555968549,0.7886460557350067,0.6906840531389138,0.674970527863973,
5,40,0.836713971026462,0.7145517135008671,0.41408961141290485,0.41408961141290485,0.4025650275250109,0.43845185439804063,0.8054605086664736,0.9100811541238167,0.776236044713365,0.7246563762490867,0.652887893079891,
6,50,0.8320117864159883,0.7095108470974746,0.41489577753070017,0.41489577753070017,0.401440950692689,0.43859087343063263,0.8024416947290697,0.910141533678662,0.7702030150116886,0.7411958853351658,0.6419899120856287,0.9373523461979443
7,60,0.8296772726240974,0.7074442808142591,0.41585357035731996,0.41585357035731996,0.40155818250643394,0.4386069647148192,0.8014889311021388,0.9101969012854424,0.7675753689329179,0.7465150802798602,0.6354821052776803,
8,70,0.8285311219453354,0.7065259850042223,0.41710948693862565,0.41710948693862565,0.40224637843204114,0.439100942556117,0.8001168516542718,0.9102320959367087,0.7663239552387296,0.7452472873785715,0.6316040518917142,
9,80,0.8279210231325402,0.7060323656919212,0.41821243426867727,0.41821243426867727,0.4027255499928696,0.4396393766603265,0.799081935996726,0.9102603346085325,0.7656482530300511,0.740813304412974,0.6292045708233368,
10,90,0.8275334692845894,0.7057068277349517,0.41937888842376647,0.41937888842376647,0.4033840143905077,0.44022756625019893,0.7985469274630788,0.9102656690587781,0.7652005249520976,0.7350490037885311,0.6276078903161108,
11,100,0.8272925949851206,0.7055007965682191,0.4202755520747788,0.4202755520747788,0.40400115117958085,0.440714587704714,0.7985394689525306,0.9102660310746182,0.7648864292048893,0.7291017415563588,0.626333387398046,0.9370647740177637
12,150,0.8268660959609524,0.7051931682159059,0.42347485232679627,0.42347485232679627,0.4052234105332471,0.44272043772072367,0.79798608903051,0.9103090421322094,0.7642455803925248,0.7029210941482263,0.6239139047615132,
13,200,0.8267639427622823,0.7051239625081717,0.4260518364208973,0.4260518364208973,0.4065339949289073,0.44437122127055945,0.7982040561137844,0.9102748801821038,0.7640748589432063,0.6858953850383602,0.6231880958235582,
14,300,0.8266922704718069,0.7050829309729255,0.42863978243006057,0.42863978243006057,0.4073204307773035,0.4461337340365883,0.7988482272439136,0.9101631617015529,0.7639645894599006,0.6737769582348956,0.6225821412814201,
