,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.03336062294417034,0.07171905128809884,0.2132168436780056,0.16425028354219748,0.17978549531848517,0.09188066859683366,0.23693074536188255,0.21772511048574553,0.1096189344046301,0.3053920578104652,0.09283166536279913,0.1825495288456669
1,15,0.033291760032206706,0.07022952732488051,0.19824864646105847,0.1562034173354512,0.17618251285172876,0.09350359041354084,0.24807329023788033,0.21760648490973572,0.11032361204511788,0.28837300129906906,0.07164327629103515,
2,20,0.03323282077560985,0.06923561157610543,0.19023301101578063,0.15202984393795516,0.1754312825812859,0.09416692900289626,0.25321991798083254,0.21746302578106355,0.11338604936389095,0.26965181209095557,0.06587792442405101,
3,25,0.03318089014672312,0.06849795098267979,0.1856247585299417,0.14964660650824696,0.1754352456576218,0.09457620031413243,0.25501235938835104,0.21733083240751697,0.11569821786975194,0.2535945394951376,0.06652721548809926,
4,30,0.03313337969417137,0.06790875230820333,0.18280014666721753,0.1482710726201544,0.17557541492694126,0.09493921638478194,0.25638599484712427,0.2174089067845968,0.11736526604457918,0.24018194838208676,0.06932851928317216,
5,40,0.03304615951244733,0.06699433128429855,0.17975499873446873,0.14700071699316508,0.17601180906683547,0.09541331841895753,0.2584639518380604,0.2171999811854881,0.11946132598678809,0.2192917726443855,0.07580155434947912,
6,50,0.03296536121520638,0.06630321382310361,0.1811551742591182,0.14783450522122565,0.17647594078802395,0.09585687174778226,0.25978160137516365,0.21698891652099253,0.12063690393292724,0.2040889758812896,0.08092017965177023,0.18313508622554037
7,60,0.032890391338923394,0.06576186191616251,0.18045832499368156,0.14776581796813557,0.17677568277577876,0.0961742296625906,0.25988674066412065,0.21682276574202827,0.12132910287732322,0.19312581742129503,0.08233556779553505,
8,70,0.03282048126721371,0.06533003455926296,0.17964966305719335,0.14760456007697312,0.1769243492384722,0.09642027678916103,0.25996326644308004,0.21668247690708423,0.12175188426717912,0.18532135076720677,0.0829085292891723,
9,80,0.03275505534158808,0.06498393922527551,0.1791948133690171,0.1476156988559348,0.17706330059542916,0.09664715867374533,0.2598140042186987,0.21655290059159857,0.12202435135362712,0.17964479755735593,0.08334588962976879,
10,90,0.03269291687179446,0.06470260729188854,0.1789263031499286,0.14769949544552408,0.17720310850797585,0.09685057159169036,0.25999890575818096,0.2164428095805212,0.1222152250535674,0.17542345108207824,0.08365818702442844,
11,100,0.03263423223720654,0.06447378259089982,0.1788036087739929,0.14784804517476474,0.1773487571371776,0.09704139947570518,0.2601289419968945,0.216340383685072,0.12235025060394981,0.17241140232982718,0.08382848396176802,0.18279083197829918
12,150,0.03238311119430647,0.06379148485979444,0.17874964561716183,0.148524614103166,0.17771980676025548,0.09765705284235916,0.2607897354696388,0.21599370374891336,0.12267220707832847,0.16630525360056703,0.08393204048357368,
13,200,0.032159061281682354,0.06352239439707262,0.1793000628969924,0.14918894704511138,0.1778776566270927,0.09803518272449527,0.26053316507962565,0.21581752425788678,0.12279070534449987,0.1657385972844074,0.08397752784902339,
14,300,0.0318042208146708,0.06339554872148143,0.20252496634715347,0.1595616438549735,0.17803914815723712,0.09843603536930673,0.2602648135603611,0.21564851464866613,0.12287529339971136,0.16776618903599155,0.08143653615355324,
